"obs_beta","true_beta","sim","ts_length","method"
0.855376378752754,1.063,2,3650,"Eke"
1.06605531296828,1.063,2,3650,"AWC"
0.913868516154911,1.063,3,3650,"original"
1.16410809540934,1.063,3,3650,"Eke"
0.97297290975259,1.063,3,3650,"AWC"
0.954506430662316,1.063,4,3650,"original"
0.951909218477484,1.063,4,3650,"Eke"
1.01359777497233,1.063,4,3650,"AWC"
0.955143369248603,1.063,5,3650,"original"
0.876989611720895,1.063,5,3650,"Eke"
1.08775195769353,1.063,5,3650,"AWC"
0.908796694337497,1.063,6,3650,"original"
1.06249936597914,1.063,6,3650,"Eke"
0.976034413850629,1.063,6,3650,"AWC"
0.905590779468385,1.063,7,3650,"original"
1.07700358727885,1.063,7,3650,"Eke"
1.02350906495537,1.063,7,3650,"AWC"
0.906197882752129,1.063,8,3650,"original"
1.05465577827367,1.063,8,3650,"Eke"
0.970847020825131,1.063,8,3650,"AWC"
0.955942077751321,1.063,9,3650,"original"
1.00990920289178,1.063,9,3650,"Eke"
1.00325129762772,1.063,9,3650,"AWC"
0.996884343726465,1.063,10,3650,"original"
1.1731438536584,1.063,10,3650,"Eke"
1.02085218606313,1.063,10,3650,"AWC"
-0.627387329949273,-0.761,1,1825,"original"
-0.96217608968005,-0.761,1,1825,"Eke"
-0.766786622357797,-0.761,1,1825,"AWC"
-0.744720796431898,-0.761,2,1825,"original"
-0.910993715935131,-0.761,2,1825,"Eke"
-0.769634105752207,-0.761,2,1825,"AWC"
-0.642444819932721,-0.761,3,1825,"original"
-0.557486275290855,-0.761,3,1825,"Eke"
-0.808872608120697,-0.761,3,1825,"AWC"
