"time_window_width","Time series type","time_series_type","ts_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","simulation_num"
"5 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",2.78994800174481e-07,4.5256796937653e-07,0.616470495158622,0.539334363749352,-6.21644161313153e-07,1.17963376166212e-06,4
"5 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",6.52786914890959e-07,4.00209176666436e-07,1.63111430959276,0.106797060124903,-1.43654728443273e-07,1.44922855822519e-06,4
"6 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-2.86383457226538e-07,3.9459861602266e-07,-0.725758899291456,0.470552368250412,-1.07422501374521e-06,5.01458099292131e-07,4
"6 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",5.86473744426412e-07,3.72813256115532e-07,1.57310324889485,0.120476851704634,-1.57871937647615e-07,1.33081942650044e-06,4
"6 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",5.4166736346976e-09,3.79369373539343e-07,0.0142780994263256,0.988651185643803,-7.52018719214183e-07,7.62852066483578e-07,4
"6 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-3.72721646281274e-08,4.71237849412412e-07,-0.0790941658752629,0.937197049067284,-9.78128887628557e-07,9.03584558372302e-07,4
"6 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",9.73221279982626e-07,4.64203747346658e-07,2.09653904249042,0.0398711319187695,4.64085948859593e-08,1.90003396507929e-06,4
"6 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",8.95400784083806e-08,3.90712935435498e-07,0.229171010958665,0.819444684154118,-6.90543466506547e-07,8.69623623323308e-07,4
"7 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-2.89926764878919e-07,3.95908556213617e-07,-0.73230739858647,0.467034951804437,-1.08302690562631e-06,5.03173375868471e-07,4
"7 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",9.84102586747022e-08,3.67409251227801e-07,0.267849158250198,0.789799553053024,-6.37598913866237e-07,8.34419431215642e-07,4
"7 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",2.0019767536627e-07,3.68112566690796e-07,0.543849065425766,0.588704100339482,-5.37220407348337e-07,9.37615758080876e-07,4
