"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
334,933,127064,142936,931.530975735674,1477.5,398.5
335,934,127366,142634,931.45922241131,1473.9,386.8
336,935,126973,143027,930.64413648843,1470.9,388.6
337,936,127142,142858,932.993062827225,1469.8,397.6
338,937,127077,142923,934.739567233385,1472,389.1
339,938,127342,142658,937.60084463783,1483.7,390.1
340,939,127299,142701,938.121843843066,1478.5,396.2
341,940,127035,142965,937.36802063185,1488.2,400.8
342,941,127123,142877,936.575052301255,1484.5,394.4
343,942,127268,142732,937.246376811594,1483.5,396.5
344,943,127147,142853,937.575820201498,1484.7,395.4
345,944,127222,142778,941.505846074778,1484.3,386.6
346,945,127119,142881,941.658266513937,1494.4,400.7
347,946,126866,143134,944.868620645327,1493.9,398.8
348,947,126965,143035,942.611247259126,1499.2,401.4
349,948,127093,142907,946.994853319609,1494.6,404.6
350,949,127242,142758,946.167457975106,1497.5,408.3
351,950,126985,143015,947.86685699455,1500.9,405.6
352,951,127552,142448,946.749739175796,1501.1,401.9
353,952,127364,142636,947.168074873261,1505.2,405.2
354,953,127363,142637,947.817290322581,1505.7,402.1
355,954,126914,143086,949.780742459397,1502.9,412.5
356,955,127088,142912,952.502845318158,1491.5,406.9
357,956,127145,142855,952.741726990693,1495.5,406.2
358,957,127040,142960,958.649993620008,1503.8,418.3
359,958,127305,142695,957.95421012465,1515,412.4
360,959,127416,142584,957.707049014654,1508.8,413.9
361,960,127372,142628,960.190086803372,1512.1,414.8
362,961,127173,142827,958.425012645422,1505.8,415
363,962,127517,142483,960.492183560262,1503.3,414
364,963,127482,142518,959.176714393368,1508.1,421.4
365,964,127230,142770,959.620385536097,1505.3,425.3
366,965,126868,143132,959.335478887745,1509.5,424.3
367,966,127328,142672,963.469251508538,1512.9,420.5
368,967,127200,142800,963.121514453824,1516.1,414.7
369,968,127150,142850,965.271287379625,1516.5,421.7
370,969,127445,142555,965.532713849287,1513.8,420.5
371,970,127185,142815,963.706190172304,1513.6,426.9
372,971,127258,142742,969.209983445817,1521.8,426.2
373,972,127242,142758,969.142053445851,1522.3,426.4
374,973,127227,142773,972.637675749658,1507,430
