"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
325,924,127028,142972,923.067215010924,1472.4,381.9
326,925,127015,142985,921.851384417257,1470.2,378.9
327,926,127181,142819,922.726991093326,1464.9,385.1
328,927,127144,142856,919.933024214322,1462.3,383.2
329,928,127010,142990,920.12557544757,1467.2,387.2
330,929,127260,142740,922.324814720164,1470.7,383.9
331,930,127141,142859,924.662383920621,1473.6,384
332,931,127090,142910,928.983903934594,1477.6,387.6
333,932,126937,143063,929.465838509317,1477.1,384.1
334,933,127215,142785,929.679644192342,1479.3,390.4
335,934,127114,142886,929.475527206457,1482.7,389.2
336,935,127383,142617,929.441504539559,1483.8,380.3
337,936,127234,142766,931.334372969461,1480.6,384.2
338,937,127040,142960,933.433188805676,1478.1,384.6
339,938,126971,143029,934.062597605414,1476.7,386
340,939,126982,143018,931.508300907912,1481.1,385.5
341,940,127302,142698,928.77707253886,1474.6,388.7
342,941,126859,143141,929.161825726141,1482,393
343,942,127068,142932,931.82684546283,1486.3,396.7
344,943,126815,143185,935.199535063929,1485.2,390.2
345,944,126936,143064,933.632742790638,1491.3,404.1
346,945,127308,142692,932.726929584798,1485.1,400.4
347,946,126905,143095,937.011299435028,1493.9,403.4
348,947,127564,142436,940.237172030503,1496.3,393.8
349,948,127332,142668,944.055119124276,1492.5,405.9
350,949,127324,142676,943.003609177623,1494.4,410.2
351,950,127251,142749,945.956884199557,1489.6,408.1
352,951,127223,142777,949.147116007777,1496.9,402.9
353,952,127113,142887,945.542262678804,1482.9,404.6
354,953,127071,142929,949.710495664553,1499.9,404.4
355,954,127222,142778,950.122162022704,1489.8,408
356,955,127275,142725,952.146476337449,1493.6,410.4
357,956,127092,142908,955.180490349504,1499.7,407.4
358,957,127312,142688,953.188502150958,1497,412.7
359,958,127127,142873,951.305056468172,1495.1,414.7
360,959,127042,142958,953.503240860773,1496.5,418.5
361,960,127299,142701,956.009397024276,1498.7,415.3
362,961,127357,142643,955.328469980633,1503.3,418.8
363,962,127265,142735,958.901760653228,1506.4,421.2
364,963,126996,143004,960.76599023889,1498.1,418.2
365,964,126903,143097,959.423378291586,1505.9,425
366,965,127156,142844,960.060156150006,1513.6,419.2
367,966,127226,142774,961.741724453748,1511.6,415.4
368,967,127336,142664,963.383121144507,1516.1,421.2
369,968,127438,142562,963.070331655697,1517,420.1
370,969,127135,142865,963.91922829582,1511.6,426.5
371,970,127355,142645,963.767313375305,1506.9,423.7
372,971,127338,142662,966.049465412856,1516.2,435
373,972,127024,142976,970.309943034697,1513.6,427.5
374,973,127396,142604,973.611564973194,1512.4,430.6
375,974,127044,142956,976.470330237358,1517.8,427.7
376,975,127054,142946,976.014470482776,1511.6,427.8
377,976,127347,142653,976.92954343126,1519.1,435.2
378,977,127328,142672,975.834161886552,1520.3,431.8
379,978,127113,142887,975.060270132518,1517.1,435.1
380,979,127237,142763,978.6203680363,1521.6,428.2
381,980,127009,142991,977.772884393804,1522.8,429.8
382,981,127247,142753,979.599799272362,1523.2,434.5
383,982,127799,142201,980.056823947235,1530.1,430.9
384,983,127177,142823,981.156621929602,1529.4,427.8
385,984,127323,142677,978.885522753642,1519.8,440
386,985,126936,143064,983.401053713698,1534.6,439.6
387,986,127483,142517,980.15206185567,1531.6,437
388,987,127098,142902,983.542595695322,1538.6,448.5
389,988,127169,142831,985.494116125695,1532.9,439.1
390,989,127305,142695,984.49885786802,1522.8,443.2
391,990,127237,142763,987.845553422905,1538.3,443.6
392,991,127394,142606,992.174583122789,1529.3,445.1
393,992,127217,142783,990.48027158596,1531,445.5
394,993,127131,142869,991.183331183073,1544.5,452.4
395,994,127026,142974,991.558624216852,1535.8,451
396,995,127106,142894,993.394760383387,1544.8,450.3
397,996,127321,142679,994.344025559105,1538.5,452.6
398,997,126979,143021,995.079126525369,1546.4,450.5
399,998,127332,142668,995.019084461638,1537.2,454.4
400,999,127327,142673,994.619745468569,1546.6,446.2
401,1000,127375,142625,998.673575788403,1550.7,449.3
402,1001,127058,142942,999.323187673655,1554.3,459.4
403,1002,126862,143138,1004.28138473244,1546.7,457.6
404,1003,127305,142695,1006.97046467218,1552.6,461.6
405,1004,127183,142817,1004.45139508218,1552.5,464
406,1005,127242,142758,1002.08264252009,1553.4,462.4
407,1006,127383,142617,1004.41134297785,1547.4,464.5
408,1007,127178,142822,1004.38614629103,1553.8,464.5
409,1008,127419,142581,1003.88800919423,1551.9,468.9
410,1009,127396,142604,1007.24374193548,1554.5,458.5
411,1010,127033,142967,1006.28383942357,1548.8,464.4
412,1011,126949,143051,1004.93526011561,1555.2,455
413,1012,127362,142638,1010.02740599108,1550.4,461.9
414,1013,127250,142750,1010.43335862418,1557.4,469.2
415,1014,127347,142653,1009.58077022486,1564.7,467.6
416,1015,127226,142774,1009.82525510204,1549.3,466.6
417,1016,127554,142446,1012.88790373654,1560.3,470.7
418,1017,126960,143040,1013.26758745321,1556.2,472.3
419,1018,127090,142910,1013.38587933248,1554.2,479.3
420,1019,127122,142878,1012.13362682895,1559,469.8
421,1020,127117,142883,1015.36697843596,1566.9,466.3
422,1021,127531,142469,1015.79546618852,1564.3,482.3
423,1022,127345,142655,1018.02638419548,1569.7,482.5
424,1023,127248,142752,1015.97677682787,1572,487.3
425,1024,126896,143104,1017.07822736031,1572.4,480
426,1025,127375,142625,1018.66145092461,1565.4,479.9
427,1026,127408,142592,1021.71619343965,1570.5,481.4
428,1027,127359,142641,1022.86622721985,1582.5,480.8
429,1028,126974,143026,1021.47625861845,1573.4,482
430,1029,127286,142714,1022.29087552743,1573.3,476.5
431,1030,127503,142497,1026.05309501906,1578,482.2
432,1031,127023,142977,1026.26431197479,1567.8,485.5
433,1032,126874,143126,1030.11438679245,1570.2,486.1
434,1033,127053,142947,1028.17697729052,1575.5,484
435,1034,127372,142628,1031.23202447731,1580.4,487.3
436,1035,127123,142877,1030.86893959036,1576.4,500
437,1036,126984,143016,1034.04928763958,1585,480.5
438,1037,127221,142779,1036.70232858991,1576.6,488.6
439,1038,127074,142926,1039.27654867257,1579,494.4
440,1039,127133,142867,1039.28800719055,1584.8,491.5
441,1040,127579,142421,1037.91280933453,1584.1,493
442,1041,127349,142651,1041.13109637144,1587.9,496.4
443,1042,127176,142824,1039.08625128733,1593.6,494.6
444,1043,126963,143037,1043.76831168831,1590.5,504.5
445,1044,126968,143032,1041.12127879886,1590.5,497.9
446,1045,127082,142918,1042.7895482044,1592.2,498.3
447,1046,127271,142729,1044.75282210977,1582.4,506.4
448,1047,127095,142905,1048.36154044307,1602.7,506.4
449,1048,126732,143268,1047.61088840036,1594,497.8
450,1049,127394,142606,1048.99548910942,1589.5,506.3
451,1050,127200,142800,1050.59868421053,1596.6,505.5
